阵营,名字,费用,三维,特性,魔法/效果,类型,系别,评分
中立,圣龙,9,8/0/16,法术护盾2,,单位,,54
中立,护体石肤,2,-,,法术·土系：目标友方单位护甲 +3（永久）,法术,土,58
中立,迟缓,2,-,,法术·土系：目标敌方单位攻击 -3（最低 0）,法术,土,58
中立,地刺,3,-,,法术·土系：对敌方前排所有单位造成 3 点伤害,法术,土,58
中立,死亡波纹,5,-,,法术·土系：对双方场上所有非墓园单位造成 3 点伤害,法术,土,56
中立,治疗,2,-,,法术·水系：己方英雄恢复 7 点生命,法术,水,55
中立,冰箭,2,-,,法术·水系：对目标敌方单位造成 4 点伤害,法术,水,58
中立,祝福,3,-,,法术·水系：全场友方单位 +2 攻击,法术,水,56
中立,驱散,2,-,,法术·水系：移除目标敌方单位全部增益并解除中毒,法术,水,55
中立,火球术,3,-,,法术·火系：对目标敌方单位造成 2~7 点伤害,法术,火,58
中立,嗜血奇术,3,-,,法术·火系：全场友方单位 +3 攻击,法术,火,58
中立,烈火神盾,3,-,,法术·火系：目标友方单位获得「反击2」（重复无效）,法术,火,56
中立,末日审判,8,-,,法术·火系：对双方场上所有单位造成 6 点伤害,法术,火,60
中立,闪电箭,3,-,,法术·气系：对目标敌方单位造成 5 点伤害,法术,气,58
中立,连锁闪电,5,-,,法术·气系：对最多 3 个敌方单位各造成 4 点伤害（从攻击最高者开始）,法术,气,60
中立,召唤气元素,6,-,,法术·气系：召唤一个【气元素】（4/0/5 飞行）,法术,气,56
中立,护体神盾,3,-,,法术·土系：全场友方单位护甲 +2,法术,土,58
中立,陨石,4,-,,法术·土系：对目标及同排左右相邻单位各造成 4 点伤害,法术,土,58
中立,复活术,5,-,,法术·土系：从己方墓地复活最后死亡的一张单位卡到其原排,法术,土,58
中立,治疗波动,4,-,,法术·水系：全场友方单位恢复 4 点生命,法术,水,56
中立,镜像术,4,-,,法术·水系：在同排召唤一个目标友方单位的复制（复制当前数值与姿态）,法术,水,58
中立,传送,2,-,,法术·水系：将目标友方单位收回手牌（不退法力）,法术,水,52
中立,烧灼,2,-,,法术·火系：对目标敌方单位造成 3 点伤害,法术,火,55
中立,地狱烈焰,6,-,,法术·火系：对敌方全场造成 4 点伤害,法术,火,58
中立,混乱,3,-,,法术·火系：目标敌方单位士气 -6（最低 -10）,法术,火,55
中立,龙卷,4,-,,法术·气系：消灭一个随机敌方飞行单位,法术,气,55
中立,鼓舞,2,-,,法术·气系：全场友方单位士气 +3（最高 10）,法术,气,56
中立,召唤雷元素,5,-,,法术·气系：在空中区域召唤一个【雷元素】（4/0/6 飞行）,法术,气,56
中立,雷鸣爆弹,6,-,,法术·土系：对目标敌方单位造成 9 点伤害,法术,土,62
中立,聚灵奇术,5,-,,法术·土系：复活己方墓地最后死亡的一张墓园单位卡，以其最大生命一半（向上取整）的生命入场到原排,法术,土,58
中立,召唤土元素,7,-,,法术·土系：召唤一个【土元素】（5/1/7）,法术,土,56
中立,流沙,3,-,,法术·土系：敌方前排所有单位攻击 -2（最低 0）,法术,土,55
中立,失忆,4,-,,法术·水系：移除目标敌方单位的「远程」特性,法术,水,55
中立,召唤水元素,7,-,,法术·水系：召唤一个【水元素】（3/0/7）,法术,水,56
中立,流星火雨,7,-,,法术·火系：对随机至多 4 个敌方单位各造成 5 点伤害（守备加权，不重复）,法术,火,60
中立,召唤火元素,7,-,,法术·火系：召唤一个【火元素】（5/0/5，带火系魔法免疫）,法术,火,56
中立,狂暴,3,-,,法术·火系：目标友方单位攻击 +4 并中毒 Lv1,法术,火,55
中立,龙卷风,3,-,,法术·气系：随机重排敌方阵型：地面单位随机分配到前/中/后三排（飞行单位不动）,法术,气,55
中立,大气神盾,2,-,,法术·气系：目标友方单位获得「法术护盾3」（重复无效）,法术,气,56
中立,召唤骷髅兵,3,-,,法术·土系：选择敌方或我方墓地任意一个单位除外，召唤（其费用÷2 向上取整 + 1）个骷髅兵到我方前排,法术,土,57
中立,召唤史莱姆,0,-,,法术·水系：消耗所有剩余法力，召唤等量史莱姆到前排；数量大于 4 时每 4 个史莱姆换成 1 个巨型史莱姆,法术,水,58
港口,泉水精灵,1,1/0/2,,,单位,,56
港口,海洋精灵,2,1/0/3,,战吼：己方英雄恢复 3 点生命,单位,,57
港口,水手,2,2/0/4,,,单位,,56
港口,海员,2,3/0/3,,,单位,,56
港口,海贼,3,3/0/3,骑兵,,单位,,55
港口,皇家海盗,4,4/0/5,骑兵，掠夺,,单位,,59
港口,暴风鸟,4,3/0/5,飞行,,单位,,53
港口,暴风雕,5,4/0/6,飞行,,单位,,51
港口,海洋女巫,5,2/0/6,远程,战吼·祈祷：其他友方使魔 +1攻/+2血,单位,,66
港口,海洋术士,6,3/0/7,远程,火球：消耗 1 法力，对随机一个敌方随从造成 1~6 点法术伤害（初始法力 2/2）,单位,,55
港口,鱼人,6,5/0/10,,,单位,,50
港口,鱼人战士,7,6/0/12,,,单位,,50
港口,海蛇,8,7/0/13,毒Lv2,,单位,,52
港口,深渊海蛇,9,8/0/15,毒Lv3,,单位,,54
堡垒,狗头人,1,2/0/1,,,单位,,56
堡垒,狗头人工长,1,2/0/2,,,单位,,58
堡垒,山羚,2,2/0/2,骑兵,,单位,,57
堡垒,雪羚,3,3/0/3,骑兵,,单位,,55
堡垒,雪精灵,3,2/0/3,远程,,单位,,56
堡垒,铁甲雪精灵,4,3/1/4,远程,,单位,,58
堡垒,雪怪,4,4/0/6,,,单位,,52
堡垒,控符雪怪,5,4/1/7,,,单位,,52
堡垒,萨满,5,2/0/6,远程,战吼·祈祷：其他友方使魔 +1攻/+2血,单位,,66
堡垒,萨满长老,6,3/0/7,远程,战吼·祈祷：其他友方使魔 +1攻/+2血,单位,,64
堡垒,猛犸,6,5/0/11,骑兵,,单位,,57
堡垒,战斗猛犸,7,6/0/13,骑兵,,单位,,57
堡垒,冰霜巨人,8,7/0/14,,,单位,,50
堡垒,冰霜领主,9,8/0/16,范围攻击,,单位,,54
工厂,半身人,1,1/0/1,远程,,单位,,62
工厂,掷弹半身人,2,1/0/2,远程，范围攻击,,单位,,64
工厂,机械师,2,2/0/3,,,单位,,54
工厂,工程师,3,2/0/5,,,单位,,52
工厂,坚甲兽,3,2/2/5,,,单位,,56
工厂,坚甲兽头领,4,3/2/7,,,单位,,60
工厂,自行机器,4,3/0/6,再生1,,单位,,52
工厂,自行哨卫,5,3/1/7,再生1,,单位,,52
工厂,沙虫,5,4/0/7,毒Lv1,,单位,,50
工厂,死亡沙虫,6,5/0/8,毒Lv2,,单位,,50
工厂,雇佣杀手,6,4/0/5,远程，连击,,单位,,56
工厂,赏金猎人,7,5/0/6,远程，连击,,单位,,54
工厂,无畏机甲,8,7/0/15,范围攻击,,单位,,56
工厂,主宰机甲,9,8/0/17,范围攻击，护甲穿透1,,单位,,59
